dataset,seed,method,k,train,test
CUB-200,3,Optimized,100,0.948948948948949,0.8995512599240594
CUB-200,3,Optimized,200,0.9451117784451117,0.9005868139454608
CUB-200,3,Optimized,300,0.9417751084417751,0.9017949603037625
CUB-200,3,Optimized,500,0.935769102435769,0.9002416292716603
CUB-200,3,Optimized,700,0.9312645979312646,0.8966171901967552
CUB-200,3,Optimized,900,0.9220887554220888,0.8935105281325509
CUB-200,3,Optimized,1000,0.9175842509175842,0.8891957197100449
CUB-200,4,Simple,50,0.9000667334000667,0.8617535381429065
CUB-200,4,Simple,100,0.9144144144144144,0.8729720400414221
CUB-200,4,Simple,200,0.923923923923924,0.8819468415602347
CUB-200,4,Simple,300,0.9225892559225892,0.8866068346565412
CUB-200,4,Simple,500,0.9222555889222556,0.892129789437349
CUB-200,4,Simple,700,0.9214214214214215,0.8910942354159476
CUB-200,4,Simple,900,0.9180847514180848,0.8904038660683465
CUB-200,4,Simple,1000,0.9169169169169169,0.8909216430790473
CUB-200,4,FAIR,50,0.9200867534200867,0.8619261304798067
CUB-200,4,FAIR,100,0.9260927594260927,0.8765964791163272
CUB-200,4,FAIR,200,0.9244244244244244,0.88574387297204
CUB-200,4,FAIR,300,0.9252585919252586,0.8879875733517432
CUB-200,4,FAIR,500,0.920754087420754,0.8909216430790473
CUB-200,4,FAIR,700,0.9194194194194194,0.8929927511218502
CUB-200,4,FAIR,900,0.9174174174174174,0.891439420089748
CUB-200,4,FAIR,1000,0.9174174174174174,0.8909216430790473
CUB-200,4,MSDA,50,0.890724057390724,0.8541594753192958
CUB-200,4,MSDA,100,0.9082415749082415,0.8797031411805316
CUB-200,4,MSDA,200,0.9132465799132465,0.8883327580255437
CUB-200,4,MSDA,300,0.9160827494160827,0.8902312737314463
CUB-200,4,MSDA,500,0.9170837504170838,0.8942008974801519
CUB-200,4,MSDA,700,0.9174174174174174,0.8933379357956507
CUB-200,4,MSDA,900,0.9164164164164165,0.8919571971004487
CUB-200,4,MSDA,1000,0.9162495829162496,0.890749050742147
CUB-200,4,Optimized,50,0.9481147814481148,0.8924749741111495
CUB-200,4,Optimized,100,0.9486152819486153,0.8988608905764585
CUB-200,4,Optimized,200,0.9459459459459459,0.9002416292716603
CUB-200,4,Optimized,300,0.9421087754421088,0.9011045909561616
CUB-200,4,Optimized,500,0.9377711044377711,0.9019675526406628
CUB-200,4,Optimized,700,0.9325992659325992,0.9002416292716603
CUB-200,4,Optimized,900,0.9259259259259259,0.8959268208491543
CUB-200,4,Optimized,1000,0.9182515849182515,0.8923023817742493
ImageNet,-1,Baseline,1024,0.8422211936461055,0.81992
ImageNet,0,Simple,50,0.8202006451930154,0.79446
ImageNet,0,Simple,100,0.8352868907800466,0.81256
ImageNet,0,Simple,200,0.8428854317977281,0.82198
ImageNet,0,Simple,300,0.8445885665178701,0.82304
ImageNet,0,Simple,500,0.8447501379601566,0.82312
ImageNet,0,Simple,700,0.8438626658351331,0.82104
ImageNet,0,Simple,900,0.842801914192295,0.82076
ImageNet,0,Simple,1000,0.8423585683989675,0.81964
ImageNet,0,FAIR,50,0.8418301439234698,0.81852
ImageNet,0,FAIR,100,0.8481673349375999,0.82568
ImageNet,0,FAIR,200,0.8502708858407998,0.8293
ImageNet,0,FAIR,300,0.849968817492177,0.82926
ImageNet,0,FAIR,500,0.8481470409400179,0.8255
ImageNet,0,FAIR,700,0.845828841985471,0.82344
ImageNet,0,FAIR,900,0.8434536637300212,0.82062
ImageNet,0,FAIR,1000,0.8424655021554567,0.8196
ImageNet,0,MSDA,50,0.7449629907732559,0.7197
ImageNet,0,MSDA,100,0.803334772125726,0.7806
ImageNet,0,MSDA,200,0.8266322813497382,0.80388
ImageNet,0,MSDA,300,0.8333933046979823,0.81122
ImageNet,0,MSDA,500,0.8385019283200394,0.8178
ImageNet,0,MSDA,700,0.8408451045023795,0.82016
ImageNet,0,MSDA,900,0.8415702246467478,0.82038
ImageNet,0,MSDA,1000,0.8420354255143943,0.81988
ImageNet,0,Optimized,50,0.8500445297139249,0.82618
ImageNet,0,Optimized,100,0.8580700252191947,0.8364
ImageNet,0,Optimized,200,0.859816089549606,0.83868
ImageNet,0,Optimized,300,0.8589785718801686,0.83738
ImageNet,0,Optimized,500,0.8561381927570723,0.83534
ImageNet,0,Optimized,700,0.8526663580938316,0.8311
ImageNet,0,Optimized,900,0.8479565895780956,0.82606
ImageNet,0,Optimized,1000,0.8439891130508357,0.82178
ImageNet,1,Simple,50,0.8202880654902913,0.79476
ImageNet,1,Simple,100,0.8342550190568443,0.81138
ImageNet,1,Simple,200,0.8423289079409632,0.82038
ImageNet,1,Simple,300,0.8442654236332968,0.82198
ImageNet,1,Simple,500,0.8448625354852256,0.82286
ImageNet,1,Simple,700,0.8440359453529478,0.82154
ImageNet,1,Simple,900,0.8427605456587627,0.8202
ImageNet,1,Simple,1000,0.8423905704720774,0.82002
